CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P2906700F,01,29,067,A,A,000,Málaga                                                                ,G93098374,01,00,050,H,H,000,F. Félix Revello de Toro                                              ,AAPP,01/02/2014,
P2906700F,01,29,067,A,A,000,Málaga                                                                ,B93111557,01,29,067,A,P,013,S. M. Viviendas de Málaga S.L                                         ,S. no Financieras,01/02/2014,S
P2906700F,01,29,067,A,A,000,Málaga                                                                ,G92252808,01,00,054,H,H,000,F. Malagueña de Tutela                                                , ,01/10/2011,
P2906700F,01,29,067,A,A,000,Málaga                                                                ,G92618545,01,00,055,H,H,000,F. Músical de Málaga                                                  , ,01/10/2011,
P2906700F,01,29,067,A,A,000,Málaga                                                                ,G93003150,01,00,074,H,H,000,F. Palacio de Villalón                                                ,AAPP,01/11/2014,
P2906700F,01,29,067,A,A,000,Málaga                                                                ,G29373529,01,00,078,H,H,000,F. Benèfica Caudal y Acueducto de San Telmo, ,01/02/2014,
P2906800D,01,29,068,A,A,000,Manilva                                                               ,B92499714,01,29,068,A,P,003,S. Comunicación Social de Manilva S.L.                                , ,,S
P2906800D,01,29,068,A,A,000,Manilva                                                               ,V93058717,01,29,068,A,O,001,Gerencia de Urbanismo                                                 ,AAPP,30/11/2007,
P2906800D,01,29,068,A,A,000,Manilva                                                               ,J92651058,01,00,061,H,H,000,F. Manilva para el Desarrollo                                         , ,,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900442A,01,29,069,A,O,001,O.A.L. Marbella Solidaria                                             ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,B29553500,01,29,069,A,P,012,"Control Limp. Abast. Sum. 2000, S.L.                                  ",AAPP,01/01/2014,S
P2906900B,01,29,069,A,A,000,Marbella                                                              ,B29831658,01,29,069,A,P,025,"Radio Televisión Marbella, S.L.                                       ",AAPP,01/01/2014,S
P2906900B,01,29,069,A,A,000,Marbella                                                              ,B29743176,01,29,069,A,P,026,"Transportes Locales 2000, S.L.                                        ",S. no Financieras,01/01/2014,S
P2906900B,01,29,069,A,A,000,Marbella                                                              ,P2900046J,01,29,069,A,V,003,O. Aut. M. Centro Municipal Formación y Empleo                        ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900458G,01,29,069,A,O,002,O.A.L. Coordinación Entidades Públicas Municipales de Marbella        ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900459E,01,29,069,A,O,003,O.A.L.  Fundación Deportiva Municipal                                 ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900461A,01,29,069,A,O,004,O.A.L. Servicios Auxiliares                                           ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900460C,01,29,069,A,O,005,O.A.L. Servicios Operativos                                           ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900536J,01,29,069,A,O,006,O. Aut. Local  Arte y Cultura                                         ,AAPP,01/01/2014,
P2906900B,01,29,069,A,A,000,Marbella                                                              ,B92969765,01,29,069,A,P,027,"Palacio de Ferias, Congresos y Exposiciones Marbella, S.L.            ",AAPP,01/01/2014,S
P2906900B,01,29,069,A,A,000,Marbella                                                              ,A29011178,01,29,069,A,P,028,"Puerto Deportivo de Marbella, S.A.                                    ",S. no Financieras,01/01/2014,S
P2906900B,01,29,069,A,A,000,Marbella                                                              ,Q2900520D,01,29,069,A,O,007,Limpieza Marbella O.A.L.                                              ,AAPP,01/01/2014,
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,A29610037,01,29,070,A,P,001,"Recursos Turísticos, S.A.                                             ",AAPP,01/05/2015,S
P2907000J,01,29,070,A,A,000,Mijas                                                                 ,A29610045,01,29,070,A,P,003,"Mijas Comunicación, S.A.                                              ",AAPP,01/05/2015,S
